15:52:21.870 -> Humidity: 36.00 %, Temp: 27.40 Celsius
15:52:23.916 -> Humidity: 37.00 %, Temp: 27.50 Celsius
15:52:25.923 -> Humidity: 35.00 %, Temp: 27.60 Celsius
15:52:27.963 -> Humidity: 34.00 %, Temp: 27.70 Celsius
15:52:29.995 -> Humidity: 33.00 %, Temp: 27.70 Celsius
15:52:31.999 -> Humidity: 33.00 %, Temp: 27.70 Celsius 
15:52:34.032 -> Humidity: 33.00 %, Temp: 27.70 Celsius
15:52:36.061 -> Humidity: 33.00 %, Temp: 27.70 Celsius
15:52:38.080 -> Humidity: 33.00 %, Temp: 27.80 Celsius
15:52:40.124 -> Humidity: 33.00 %, Temp: 27.70 Celsius
15:52:42.146 -> Humidity: 33.00 %, Temp: 27.80 Celsius
15:52:44.161 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:52:46.217 -> Humidity: 32.00 %, Temp: 27.80 Celsius 
15:52:48.220 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:52:50.272 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:52:52.297 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:52:54.333 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:52:56.324 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:52:58.369 -> Humidity: 32.00 %, Temp: 27.70 Celsius
15:53:00.378 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:53:02.404 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:53:04.439 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:53:06.475 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:53:08.481 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:53:10.516 -> Humidity: 32.00 %, Temp: 27.70 Celsius
15:53:12.537 -> Humidity: 32.00 %, Temp: 27.80 Celsius
15:53:14.595 -> Humidity: 32.00 %, Temp: 27.70 Celsius
15:53:16.617 -> Humidity: 33.00 %, Temp: 27.70 Celsius
15:53:18.634 -> Humidity: 33.00 %, Temp: 27.70 Celsius
15:53:20.675 -> Humidity: 33.00 %, Temp: 27.70 Celsius
15:53:22.668 -> Humidity: 33.00 %, Temp: 27.70 Celsius
15:53:24.727 -> Humidity: 32.00 %, Temp: 27.70 Celsius
15:53:26.731 -> Humidity: 32.00 %, Temp: 27.70 Celsius
15:53:28.781 -> Humidity: 32.00 %, Temp: 27.60 Celsius
15:53:30.790 -> Humidity: 32.00 %, Temp: 27.70 Celsius
15:53:32.812 -> Humidity: 32.00 %, Temp: 27.60 Celsius
15:53:34.857 -> Humidity: 32.00 %, Temp: 27.50 Celsius
15:53:36.871 -> Humidity: 32.00 %, Temp: 27.60 Celsius
15:53:38.892 -> Humidity: 32.00 %, Temp: 27.50 Celsius
15:53:40.918 -> Humidity: 32.00 %, Temp: 27.50 Celsius
15:53:42.968 -> Humidity: 32.00 %, Temp: 27.50 Celsius
15:53:44.986 -> Humidity: 32.00 %, Temp: 27.60 Celsius
15:53:46.999 -> Humidity: 32.00 %, Temp: 27.50 Celsius
15:53:49.024 -> Humidity: 32.00 %, Temp: 27.40 Celsius
15:53:51.049 -> Humidity: 32.00 %, Temp: 27.40 Celsius
15:53:53.083 -> Humidity: 32.00 %, Temp: 27.40 Celsius
15:53:55.105 -> Humidity: 32.00 %, Temp: 27.40 Celsius
15:53:57.147 -> Humidity: 32.00 %, Temp: 27.40 Celsius
15:53:59.161 -> Humidity: 32.00 %, Temp: 27.40 Celsius
15:54:01.185 -> Humidity: 32.00 %, Temp: 27.40 Celsius
15:54:03.210 -> Humidity: 32.00 %, Temp: 27.30 Celsius
15:54:05.242 -> Humidity: 34.00 %, Temp: 27.30 Celsius
15:54:07.280 -> Humidity: 36.00 %, Temp: 27.30 Celsius
15:54:09.306 -> Humidity: 36.00 %, Temp: 27.30 Celsius
15:54:11.342 -> Humidity: 36.00 %, Temp: 27.30 Celsius
15:54:13.349 -> Humidity: 35.00 %, Temp: 27.30 Celsius
15:54:15.367 -> Humidity: 35.00 %, Temp: 27.30 Celsius
15:54:17.415 -> Humidity: 35.00 %, Temp: 27.30 Celsius
15:54:19.436 -> Humidity: 35.00 %, Temp: 27.30 Celsius
15:54:21.460 -> Humidity: 35.00 %, Temp: 27.20 Celsius
15:54:23.494 -> Humidity: 35.00 %, Temp: 27.30 Celsius
15:54:25.507 -> Humidity: 35.00 %, Temp: 27.20 Celsius
15:54:27.536 -> Humidity: 34.00 %, Temp: 27.20 Celsius
15:54:29.557 -> Humidity: 34.00 %, Temp: 27.20 Celsius
15:54:31.595 -> Humidity: 34.00 %, Temp: 27.20 Celsius
15:54:33.633 -> Humidity: 34.00 %, Temp: 27.20 Celsius
15:54:35.648 -> Humidity: 34.00 %, Temp: 27.10 Celsius
15:54:37.692 -> Humidity: 34.00 %, Temp: 27.20 Celsius
15:54:39.692 -> Humidity: 34.00 %, Temp: 27.20 Celsius
15:54:41.748 -> Humidity: 34.00 %, Temp: 27.20 Celsius
15:54:43.779 -> Humidity: 34.00 %, Temp: 27.10 Celsius
15:54:45.806 -> Humidity: 34.00 %, Temp: 27.10 Celsius
15:54:47.814 -> Humidity: 33.00 %, Temp: 27.20 Celsius
15:54:49.826 -> Humidity: 34.00 %, Temp: 27.10 Celsius
15:54:51.856 -> Humidity: 34.00 %, Temp: 27.10 Celsius
15:54:53.879 -> Humidity: 34.00 %, Temp: 27.10 Celsius
15:54:55.914 -> Humidity: 34.00 %, Temp: 27.20 Celsius
15:54:57.935 -> Humidity: 34.00 %, Temp: 27.10 Celsius
15:54:59.987 -> Humidity: 33.00 %, Temp: 27.00 Celsius
15:55:01.997 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:04.029 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:06.078 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:08.090 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:10.107 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:12.156 -> Humidity: 34.00 %, Temp: 27.10 Celsius
15:55:14.183 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:16.192 -> Humidity: 35.00 %, Temp: 27.00 Celsius
15:55:18.240 -> Humidity: 35.00 %, Temp: 27.00 Celsius
15:55:20.257 -> Humidity: 35.00 %, Temp: 27.00 Celsius
15:55:22.267 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:24.321 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:26.346 -> Humidity: 35.00 %, Temp: 27.00 Celsius
15:55:28.367 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:30.370 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:32.416 -> Humidity: 34.00 %, Temp: 27.10 Celsius
15:55:34.423 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:36.473 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:38.477 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:40.523 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:42.534 -> Humidity: 34.00 %, Temp: 27.00 Celsius
15:55:44.555 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:46.581 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:48.625 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:50.670 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:52.692 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:54.704 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:55:56.726 -> Humidity: 33.00 %, Temp: 26.90 Celsius
15:55:58.758 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:56:00.769 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:56:02.822 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:56:04.843 -> Humidity: 34.00 %, Temp: 26.90 Celsius
15:56:06.854 -> Humidity: 34.00 %, Temp: 26.90 Celsius
